"comuna","acceso_controladoFALSE","acceso_controladoTRUE","se.acceso_controladoFALSE","se.acceso_controladoTRUE"
"San Ramon",0.978751228364778,0.0212487716352221,0.00898991232191151,0.00898991232191151
"San Vicente",0.974245606984098,0.0257543930159019,0.0158283722379419,0.0158283722379419
"Santa Cruz",0.978774833171324,0.0212251668286762,0.0145462253281052,0.0145462253281052
"Santiago",0.230740042510799,0.769259957489201,0.0249293543393649,0.0249293543393649
"Talagante",0.928891243337501,0.0711087566624995,0.0248441526558763,0.0248441526558763
"Talca",0.93115747321613,0.0688425267838704,0.0160443254890063,0.0160443254890063
"Talcahuano",0.927782532378121,0.0722174676218792,0.0215559794463336,0.0215559794463336
"Temuco",0.850206709411014,0.149793290588986,0.0266016176664352,0.0266016176664352
"Tocopilla",0.981624859121297,0.0183751408787029,0.0152311656418948,0.0152311656418948
"Tome",0.944637502928032,0.0553624970719683,0.0166469120999053,0.0166469120999053
"Valdivia",0.906646180028437,0.0933538199715627,0.0216502392657027,0.0216502392657027
"Vallenar",0.984760501653931,0.0152394983460689,0.00966617385333266,0.00966617385333266
"Valparaiso",0.384874515170763,0.615125484829237,0.0367932899930753,0.0367932899930753
"Victoria",0.93374790983717,0.06625209016283,0.0274328499206679,0.0274328499206679
"Vilcun",0.985412742957429,0.014587257042571,0.0100547080687507,0.0100547080687507
"Villa Alemana",0.84367419652061,0.15632580347939,0.0253583820206381,0.0253583820206381
"Villarrica",0.643998032306548,0.356001967693452,0.0730168643978639,0.0730168643978639
"Vina del Mar",0.653078129892279,0.346921870107721,0.0329301258551392,0.0329301258551392
"Vitacura",0.423534346391562,0.576465653608438,0.060040062379303,0.060040062379303
"Yungay",0.963267837744275,0.036732162255725,0.0145943286300646,0.0145943286300646
