"comuna","acceso_casas_controladoFALSE","acceso_casas_controladoTRUE","se.acceso_casas_controladoFALSE","se.acceso_casas_controladoTRUE"
"Tome",0.990444384588207,0.00955561541179241,0.00565219488660565,0.00565219488660565
"Valdivia",0.981181103842169,0.0188188961578307,0.0134567872109446,0.0134567872109446
"Vallenar",0.991181017563935,0.00881898243606488,0.00875822830052796,0.00875822830052796
"Valparaiso",0.958147105911882,0.0418528940881184,0.0127834891339548,0.0127834891339548
"Victoria",0.977748509809255,0.0222514901907448,0.0170672343942457,0.0170672343942457
"Vilcun",1,0,0,0
"Villa Alemana",0.941423907577082,0.0585760924229183,0.0145374509179686,0.0145374509179686
"Villarrica",1,0,0,0
"Vina del Mar",0.972473104713402,0.0275268952865981,0.00831023198180756,0.00831023198180756
"Vitacura",0.977026315741232,0.0229736842587684,0.0141350889008238,0.0141350889008238
"Yungay",0.993679885256845,0.00632011474315512,0.00467888426794794,0.00467888426794794
